ID,sex,mass,upperarm,length,age,group,rank,skinfold
38,F,12.1,14.5,102.2,20,c,0.5,3.4
39,F,12.5,15.9,96.5,6,c,0.58,6.8
40,F,14.3,12.8,118.1,12,c,0.67,8.7
41,F,12.9,14.1,105.5,11,c,0.75,7.7
42,F,12.1,16.1,96.3,9,c,0.83,4.4
43,F,8.4,16.3,69.6,17,c,0.92,7.8
44,F,12.1,16.3,93.3,6,c,1,8.3
45,F,12.5,16.3,104,6,d,0,3.1
46,F,12.7,15,111.2,9,d,0.14,3.8
47,F,12.3,16.4,99,14,d,0.29,4.6
48,F,12.2,15.3,104,10,d,0.43,4.2
49,F,9,14.2,68.9,6,d,0.57,6.9
50,F,14.3,16.2,106.5,7,d,0.71,5.6
51,F,12.5,14.4,98.9,13,d,0.86,6.9
52,F,12.7,15.7,107.1,8,d,1,5.8
53,F,13.2,14.5,111.8,11,e,0,6.5
54,F,12.6,16.1,93.9,6,e,0.11,4.3
55,F,9,12.8,76.3,6,e,0.22,5.3
56,F,10.4,17.5,83.3,11,e,0.33,6.9
57,F,13.6,16.6,103.1,10,e,0.44,6.3
58,F,15.2,17.1,125.4,16,e,0.56,8.8
59,F,11.2,18.8,88.5,19,e,0.67,6.6
60,F,12.6,15.4,102.3,7,e,0.78,6.2
61,F,15.1,16.2,111.3,14,e,0.89,6.8
62,F,11.7,15.1,101.2,7,e,1,7
63,F,14.1,16.6,116.7,9,f,0,4.4
64,F,11.2,15.2,93.5,7,f,0.14,7.8
65,F,10.9,17.7,86.6,5,f,0.29,5.7
66,F,11.7,17,93.4,9,f,0.43,6
67,F,11.4,15.8,94.4,5,f,0.57,6
68,F,13.2,16.3,104.8,21,f,0.71,5.2
69,F,10.8,15.2,91.7,12,f,0.86,7.4
70,F,10.6,16.1,91.2,7,f,1,7.3
71,F,12.6,15.7,110.2,9,g,0,4.4
72,F,15.1,13.9,120.5,9,g,0.07,4.9
73,F,11.3,16.3,92.3,8,g,0.14,4.9
74,F,10.4,14.7,86.2,8,g,0.21,6
75,F,11.2,15.8,87.2,14,g,0.29,5
76,F,11.3,15.6,95.2,8,g,0.36,4.9
77,F,12.2,16,101,5,g,0.43,6.2
78,F,11.9,15.5,93,7,g,0.5,5.2
79,F,11.5,15.4,90,6,g,0.57,5.7
80,F,8.9,14.5,76.5,7,g,0.64,6.4
81,F,10.9,17.6,91,5,g,0.71,6.8
82,F,9.6,17.2,85.5,13,g,0.79,5.9
83,F,11.6,16.3,94.7,9,g,0.86,8.1
84,F,11,16.1,86.8,6,g,0.93,6.9
85,F,11.7,17.6,96.5,14,g,1,6
86,F,11.7,16.6,100.4,8,h,0,4.1
87,F,13.4,14.4,109.1,9,h,0.06,5
88,F,10.3,16.3,81.4,6,h,0.12,5.2
89,F,11,18.4,91.5,12,h,0.19,5.4
90,F,10.7,15.6,93.2,6,h,0.25,3.4
91,F,11.8,16.5,93.6,6,h,0.31,5.8
92,F,12.5,15.8,103.9,14,h,0.38,5.4
93,F,15.2,14.5,119.3,6,h,0.44,6.5
94,F,13.3,14.5,106.2,8,h,0.5,6.7
95,F,12.8,17.3,107.6,10,h,0.56,7.2
96,F,12.2,17.3,98.4,13,h,0.62,4.9
97,F,11.6,16.7,93.7,6,h,0.69,5.5
98,F,13.2,14.1,110.3,6,h,0.75,6.7
99,F,15.2,14.3,117.5,15,h,0.81,6.9
100,F,12.8,13.2,98.6,8,h,0.88,6.6
101,F,14.3,16.7,116.6,13,h,0.94,5.7
102,F,14.5,14.9,124.5,8,h,1,7.7
103,F,11.3,18.7,89.7,12,i,0,5.6
104,F,11.4,15.6,92,7,i,0.05,4.3
105,F,11.2,12.8,84.3,6,i,0.1,4.3
106,F,12.6,15.1,95,9,i,0.14,4.3
107,F,11.5,15.2,93.3,6,i,0.19,5.5
108,F,11,16.8,80.4,7,i,0.24,4.2
109,F,14.4,15.1,116.9,12,i,0.29,4.6
110,F,11,16.3,98.6,14,i,0.33,6.2
111,F,11.5,13.9,94.5,11,i,0.38,6.3
112,F,11,16.6,94.1,15,i,0.43,5.7
113,F,13,17.7,99.9,18,i,0.48,4.6
114,F,12,16.5,88.3,5,i,0.52,5.4
115,F,12.3,14.5,110.4,7,i,0.57,5.1
116,F,11.6,16.2,101.5,16,i,0.62,6.3
117,F,12,17.5,103.1,11,i,0.67,6.9
118,F,10.1,17.7,77.3,17,i,0.71,6.9
119,F,10.2,16.4,85.9,12,i,0.76,7.1
120,F,12.4,15.4,97.7,8,i,0.81,6.1
121,F,14.6,17.9,120.4,5,i,0.86,7.3
122,F,10.4,15.6,86.1,6,i,0.9,7
123,F,11.8,14.3,89.8,5,i,0.95,8.3
124,F,11,16.4,86.2,9,i,1,7.4
125,F,13.4,17,93.5,10,j,0,4.7
126,F,14.9,13.9,126.4,7,j,0.1,5.7
127,F,10.5,13.7,88,6,j,0.2,5.4
128,F,12.8,15.5,109,7,j,0.3,4.2
129,F,12.1,16.7,95.2,5,j,0.4,7
130,F,11.5,14.7,100.9,7,j,0.5,5.1
131,F,12.4,13.6,111.2,7,j,0.6,6.2
132,F,11.5,15.2,94,5,j,0.7,8
133,F,12.2,15.1,103.7,11,j,0.8,6.3
134,F,12.8,15,104.9,5,j,0.9,7.6
135,F,13.7,15.7,118.4,6,j,1,5.7
136,F,10.1,16.6,78.7,5,k,0,5.9
137,F,13.4,14.8,105.8,5,k,0.06,5.5
138,F,10.7,15.2,81.6,7,k,0.12,4.6
139,F,9.9,17.8,82.1,12,k,0.18,4.4
140,F,8,15.4,67.4,7,k,0.24,3.2
141,F,13.3,16.2,106.8,6,k,0.29,7
142,F,15.6,13.6,120.2,7,k,0.35,4.6
143,F,12,18.2,98.3,10,k,0.41,6.4
144,F,9.5,13.8,77.3,15,k,0.47,5.8
145,F,12.7,14.3,110.2,8,k,0.53,4.8
146,F,10.5,13,88.7,7,k,0.59,5.1
147,F,13.6,15,108.6,20,k,0.65,7.3
148,F,10.3,16.8,78.8,6,k,0.71,5.7
149,F,12,17.1,100.9,10,k,0.76,5.6
150,F,12.4,16.3,97.4,10,k,0.82,6.7
151,F,16.8,15.3,138.8,7,k,0.88,6.6
152,F,12.1,17.4,97.4,6,k,0.94,5.9
153,F,12.9,17.3,102.1,5,k,1,7.3
